file,vowels,repetation,participant,gender,lang_ability,generation,mean_f1,mean_f2,mean_f3,context
s6-15-i-sWi.TextGrid,i,1,participant6,male,monolingual,younger,313.6305629,2295.407872,3156.488245,sWi
s6-15-i-sWi.TextGrid,i,2,participant6,male,monolingual,younger,277.0206559,2146.857484,3141.037147,sWi
s6-15-i-sWi.TextGrid,i,3,participant6,male,monolingual,younger,288.0455482,2161.891257,3015.116334,sWi
s6-16-i-si.TextGrid,i,1,participant6,male,monolingual,younger,323.0205163,2147.442348,2918.658645,si
s6-16-i-si.TextGrid,i,2,participant6,male,monolingual,younger,311.1723865,2186.401611,2892.480066,si
s6-16-i-si.TextGrid,i,3,participant6,male,monolingual,younger,313.1249409,2054.036902,2902.503816,si
s6-17-i-siWr.TextGrid,i,1,participant6,male,monolingual,younger,339.1274584,2090.083985,2771.25129,siWr
s6-17-i-siWr.TextGrid,i,2,participant6,male,monolingual,younger,324.2500584,2024.078765,2835.95502,siWr
s6-17-i-siWr.TextGrid,i,3,participant6,male,monolingual,younger,326.7491456,2025.856448,2876.353026,siWr
s6-18-i-sil@.TextGrid,i,1,participant6,male,monolingual,younger,356.5512813,2041.517313,2852.93998,sil@
s6-18-i-sil@.TextGrid,i,2,participant6,male,monolingual,younger,352.8990331,2015.9475,2886.049455,sil@
s6-18-i-sil@.TextGrid,i,3,participant6,male,monolingual,younger,343.0049745,2104.363728,2944.931611,sil@
s6-25-y-yw.TextGrid,u,1,participant6,male,monolingual,younger,442.1285032,1944.44807,2995.506527,yw
s6-25-y-yw.TextGrid,u,2,participant6,male,monolingual,younger,400.7792669,943.5024134,3159.888659,yw
s6-25-y-yw.TextGrid,u,3,participant6,male,monolingual,younger,381.8871636,807.4794486,2678.58794,yw
